CRN,**Notes,Course,Title,SH,Course Type,Instructor,Meeting Dates,Days,Time,Location,Categories,Seats,Limit,Enroll,*Campus
15115,,CSC 101-01,Intro to Computer Concepts,3,LEC,Jeffrey N. Whitworth,08-JAN-2018 to 25-APR-2018,M,1700-1815,PETT 217,.SI,0,25,25,M
15115,,,,,,,,W,1700-1815,PETT 007,,,,,
16542,8,CSC 110-01,Computational Problem Solving,3,LEC,Lance M. Everhart,08-JAN-2018 to 25-APR-2018,T R,1400-1515,PETT 217,.GMT,15,28,13,M
15051,3,CSC 130-01,Intro to Computer Science,3,LEL,Mark V. Armstrong,08-JAN-2018 to 25-APR-2018,M,1000-1150,PETT 136,,1,38,37,M
15051,,,,,,,,W,1000-1150,PETT 222,,,,,
15053,3,CSC 130-02,Intro to Computer Science,3,LEL,Mark V. Armstrong,08-JAN-2018 to 25-APR-2018,M,1000-1150,PETT 136,,6,38,32,M
15053,,,,,,,,W,1300-1450,PETT 222,,,,,
15055,3,CSC 130-03,Intro to Computer Science,3,LEL,Mark V. Armstrong,08-JAN-2018 to 25-APR-2018,M,1000-1150,PETT 136,,5,38,33,M
15055,,,,,,,,W,1530-1720,PETT 222,,,,,
15056,3,CSC 230-01,Elem Data Struc / Algorithms,3,LEC,Chandana Ariyawansa,08-JAN-2018 to 25-APR-2018,M W,1400-1515,PETT 227,,3,35,32,M
15057,3,CSC 230-02,Elem Data Struc / Algorithms,3,LEC,Chandana Ariyawansa,08-JAN-2018 to 25-APR-2018,T R,1230-1345,PETT 224,,2,35,33,M
15058,3,CSC 230-03,Elem Data Struc / Algorithms,3,LEC,Chandana Ariyawansa,08-JAN-2018 to 25-APR-2018,T R,1530-1645,PETT 223,,20,35,15,M
15061,3,CSC 250-01,Foundations of Comp Science I,3,LEC,Lance M. Everhart,08-JAN-2018 to 25-APR-2018,M W,1530-1645,PETT 150,,0,35,35,M
15070,3,CSC 250-02,Foundations of Comp Science I,3,LEC,Lance M. Everhart,08-JAN-2018 to 25-APR-2018,M W,1730-1845,PETT 150,,22,35,13,M
15071,3,CSC 250-03,Foundations of Comp Science I,3,LEC,Lance M. Everhart,08-JAN-2018 to 25-APR-2018,T R,1100-1215,PETT 223,,-1,28,29,M
15074,3,CSC 261-01,Computr Org / Assembly Languag,3,LEC,Mark V. Armstrong,08-JAN-2018 to 25-APR-2018,T R,1400-1515,PETT 223,,3,40,37,M
10449,3,CSC 330-01,Advanced Data Structures,3,LEC,Prashanti Manda,08-JAN-2018 to 25-APR-2018,M W,1400-1515,PETT 223,,5,35,30,M
15085,3,CSC 339-01,Concepts of Progrming Languags,3,LEC,Lixin Fu,08-JAN-2018 to 25-APR-2018,T R,1530-1645,PETT 227,,12,28,16,M
15086,3,CSC 339-02,Concepts of Progrming Languags,3,LEC,Lixin Fu,08-JAN-2018 to 25-APR-2018,T R,1230-1345,PETT 223,,0,28,28,M
15093,3,CSC 340-01,Software Engineering,3,LEC,Shanmugathasan Suthaharan,08-JAN-2018 to 25-APR-2018,T R,0930-1045,PETT 227,.WI,2,25,23,M
15096,3,CSC 340-02,Software Engineering,3,LEC,Richard I. Quigley,08-JAN-2018 to 25-APR-2018,M W,1730-1845,PETT 227,.WI,11,25,14,M
15101,3,CSC 350-01,Foundations of Comp Science II,3,LEC,Fereidoon Sadri,08-JAN-2018 to 25-APR-2018,M W F,0900-0950,PETT 227,,19,28,9,M
15102,3,CSC 350-02,Foundations of Comp Science II,3,LEC,Fereidoon Sadri,08-JAN-2018 to 25-APR-2018,M W F,1100-1150,PETT 217,,8,28,20,M
15120,3,CSC 471-01,Principles of Database Systems,3,LEC,Lixin Fu,08-JAN-2018 to 25-APR-2018,T R,1730-1845,PETT 150,,1,35,34,M
10450,1,CSC 490-01,Senior Capstone,3,LEC,Somya D. Mohanty,08-JAN-2018 to 25-APR-2018,M W,1530-1645,PETT 007,.SI.WI,7,25,18,M
17299,1,CSC 490-02,Senior Capstone,3,LEC,Shanmugathasan Suthaharan,08-JAN-2018 to 25-APR-2018,M W,1530-1645,PETT 227,.SI.WI,4,22,18,M
