CRN,**Notes,Course,Title,SH,Course Type,Instructor,Meeting Dates,Days,Time,Location,Categories,Seats,Limit,Enroll,*Campus
16782,,ENG 101-01,College Writing I,3,LEC,Lauren B. Shook,08-JAN-2018 to 25-APR-2018,M W F,0800-0850,MHRA 2208,.GRD,1,22,21,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13973,"1,43,168",ENG 101-01N,College Writing I,3,LEC,Kathryn J. Kehoe,08-JAN-2018 to 25-APR-2018,M W,1400-1515,CURY 331,.GRD,3,18,15,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14690,168,ENG 101-02,College Writing I,3,LEC,Lauren B. Shook,08-JAN-2018 to 25-APR-2018,M W F,0900-0950,MHRA 2208,.GRD,1,22,21,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15100,"1,43,168",ENG 101-02N,College Writing I,3,LEC,Kathryn J. Kehoe,08-JAN-2018 to 25-APR-2018,M W,1530-1645,CURY 331,.GRD,7,18,11,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12697,168,ENG 101-03,College Writing I,3,LEC,Timothy L. Huffman,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,BRYN 106,.GRD,0,22,22,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10359,168,ENG 101-04,College Writing I,3,LEC,Kathleen P. Naymon,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,COLE 319,.GRD,2,22,20,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10360,168,ENG 101-05,College Writing I,3,LEC,Bailey M. Maple,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,MHRA 2208,.GRD,0,22,22,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10361,168,ENG 101-06,College Writing I,3,LEC,Timothy L. Huffman,08-JAN-2018 to 25-APR-2018,M W F,1100-1150,BRYN 121,.GRD,-1,22,23,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13615,30,ENG 105-12,Introduction to Narrative,3,WEB,Dusty K. Ross,08-JAN-2018 to 25-APR-2018,,,,.GLT,1,30,29,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16999,"29,30,141",ENG 105-12D,Introduction to Narrative,3,WEB,Dusty K. Ross,08-JAN-2018 to 25-APR-2018,,,,.GLT,-6,0,6,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13969,30,ENG 105-13,Introduction to Narrative,3,WEB,Eileen M. Totter,08-JAN-2018 to 25-APR-2018,,,,.GLT,1,28,27,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17000,"29,30,141",ENG 105-13D,Introduction to Narrative,3,WEB,Eileen M. Totter,08-JAN-2018 to 25-APR-2018,,,,.GLT,-7,0,7,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16863,30,ENG 105-14,Introduction to Narrative,3,WEB,Gary Lim,08-JAN-2018 to 25-APR-2018,,,,.GLT,0,30,30,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17317,"29,30,141",ENG 105-14D,Introduction to Narrative,3,WEB,Gary Lim,08-JAN-2018 to 25-APR-2018,,,,.GLT,-1,0,1,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17452,"29,30,141",ENG 105-15D,Introduction to Narrative,3,WEB,Joseph A. George,28-FEB-2018 to 25-APR-2018,,,,.GLT,0,35,35,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16965,"29,30,105",ENG 105-81D,Introduction to Narrative,3,WEB,Noelle A. Morrissette,09-DEC-2017 to 18-JAN-2018,,,,.GLT,2,35,33,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10391,,ENG 106-01,Introduction to Poetry,3,LEC,Meghan H. McGuire,08-JAN-2018 to 25-APR-2018,M W F,1100-1150,SOEB 219,.GLT.WI,0,25,25,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10392,,ENG 106-02,Introduction to Poetry,3,LEC,Meghan H. McGuire,08-JAN-2018 to 25-APR-2018,M W F,1200-1250,SOEB 212,.GLT.WI,0,25,25,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14183,,ENG 106-03,Introduction to Poetry,3,LEC,Michael R. Bedsole,08-JAN-2018 to 25-APR-2018,M W,1400-1515,BRYN 132,.GLT,1,36,35,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14232,,ENG 106-04,Introduction to Poetry,3,LEC,Michael R. Bedsole,08-JAN-2018 to 25-APR-2018,M W,1530-1645,MHRA 2209,.GLT,-1,36,37,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13970,,ENG 107-01,Introduction to Drama,3,LEC,Benjamin S. Compton,08-JAN-2018 to 25-APR-2018,M W F,1500-1550,MHRA 2207,.GLT,16,36,20,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16836,,ENG 107-02,Introduction to Drama,3,LEC,Lilit Berberyan,08-JAN-2018 to 25-APR-2018,T R,1400-1515,BRYN 206,.GLT,6,36,30,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16837,,ENG 107-03,Introduction to Drama,3,LEC,Lilit Berberyan,08-JAN-2018 to 25-APR-2018,T R,1530-1645,BRYN 206,.GLT,6,36,30,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14234,,ENG 108-01,Shakespearean Afterlives,3,LEC,Matthew C. Carter,08-JAN-2018 to 25-APR-2018,M W F,1400-1450,SOEB 106,.GLT,25,36,11,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15818,,ENG 108-03,Expatriates in Paris,3,LEC,Kayla M. Forrest,08-JAN-2018 to 25-APR-2018,M W,1530-1645,BRYN 204,.GLT,15,36,21,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16840,,ENG 108-04,Transatlantic Romanticism,3,LEC,Emily J. Dolive,08-JAN-2018 to 25-APR-2018,T R,0800-0915,BRYN 121,.GLT,19,36,17,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16841,,ENG 108-05,Transatlantic Romanticism,3,LEC,Emily J. Dolive,08-JAN-2018 to 25-APR-2018,T R,0930-1045,BRYN 121,.GLT,0,27,27,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16866,,ENG 108-06,Topics: Literature of A.I.,3,LEC,Nancy G. Bucknall,08-JAN-2018 to 25-APR-2018,T R,0930-1045,BRYN 112,.GLT.WI,-2,25,27,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14787,,ENG 109-01,Intro to Shakespeare,3,LEC,Lauren B. Shook,08-JAN-2018 to 25-APR-2018,M W F,1200-1250,MHRA 2207,.GLT.WI,0,25,25,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16842,,ENG 109-02,Intro to Shakespeare,3,LEC,Lauren B. Shook,08-JAN-2018 to 25-APR-2018,M W F,1300-1350,MHRA 1210,.GLT.WI,1,25,24,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16868,,ENG 209-01,Tpc Nonwest Lit:Postcolnl Dev,3,LEC,Shana J. Scudder,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,BRYN 204,.GLT.GN.IGS,5,36,31,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16870,,ENG 209-02,Tpc Nonwest Lit:Postcolnl Dev,3,LEC,Shana J. Scudder,08-JAN-2018 to 25-APR-2018,M W F,0900-0950,BRYN 204,.GLT.GN.IGS,9,36,27,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16970,"29,30,105",ENG 209-81D,Tpc Nonwest Lit:Postcolnl Dev,3,WEB,Joseph A. George,09-DEC-2017 to 18-JAN-2018,,,,.GLT.GN.IGS,2,35,33,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16929,,ENG 210-01,Literature and the Arts,3,LEC,Crystal L. Matey,08-JAN-2018 to 25-APR-2018,M W,1400-1515,FERG 322,.GLT,2,36,34,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16847,,ENG 210-02,Literature and the Arts,3,LEC,Crystal L. Matey,08-JAN-2018 to 25-APR-2018,M W,1530-1645,BRYN 202,.GLT,0,36,36,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16871,10,ENG 211-01,British Authors:Med-18th Cntry,3,LEC,Gary Lim,08-JAN-2018 to 25-APR-2018,T R,1230-1345,BRYN 121,.GLT,1,36,35,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16872,10,ENG 211-02,British Authors:Med-18th Cntry,3,LEC,Gary Lim,08-JAN-2018 to 25-APR-2018,T R,0930-1045,BRYN 205,.GLT,9,36,27,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10397,10,ENG 212-01,British Authors: Romantic-Mod,3,LEC,Ben Clarke,08-JAN-2018 to 25-APR-2018,T R,1400-1515,SOEB 108,.GLT,3,36,33,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
11743,,ENG 219-01,Journlsm I: Fund of Newswritng,3,LEC,Rosemary Roberts,08-JAN-2018 to 25-APR-2018,T,1400-1650,GRAM 207,.ENV.WI,1,20,19,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14905,,ENG 219-02,Journlsm I: Fund of Newswritng,3,LEC,Elma K. Sabo,08-JAN-2018 to 25-APR-2018,W,1800-2050,GRAM 202,.ENV.WI,1,20,19,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10398,3,ENG 221-01,Writing of Poetry: Introductry,3,LEC,Timothy L. Huffman,08-JAN-2018 to 25-APR-2018,M W,1530-1645,COLE 225D,,5,20,15,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15099,3,ENG 221-02,Writing of Poetry: Introductry,3,LEC,Katelyn J. Wilkinson,08-JAN-2018 to 25-APR-2018,T R,1530-1645,MHRA 2210,,12,20,8,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16914,,ENG 223-01,The Art of Writing,3,LEC,Gianina M. Coturri Sorenson,08-JAN-2018 to 25-APR-2018,T R,1100-1215,MHRA 1207,,16,25,9,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13585,3,ENG 225-01,Writing Fiction: Introductory,3,LEC,Elena C. Makarion,08-JAN-2018 to 25-APR-2018,M W,1530-1645,BRYN 212,,2,20,18,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14907,3,ENG 225-02,Writing Fiction: Introductory,3,LEC,David M. Hough,08-JAN-2018 to 25-APR-2018,T R,1530-1645,MHRA 2204,,4,20,16,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17113,3,ENG 225-03,Writing Fiction: Introductory,3,LEC,Julia R. Smith,08-JAN-2018 to 25-APR-2018,M W,1400-1515,SOEB 104,,3,20,17,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15094,,ENG 230-01,Writing/Workplace/Public Aud,3,LEC,Jessica M. Van Rheenen,08-JAN-2018 to 25-APR-2018,T R,1400-1515,SOEB 219,.GRD.SI,3,25,22,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10399,10,ENG 251-01,Maj Am Auth: Colonial-Romantic,3,LEC,Maria C. Sanchez,08-JAN-2018 to 25-APR-2018,M W F,0900-0950,BRYN 121,.GLT,9,36,27,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10405,10,ENG 252-01,Maj Am Auth: Realist to Modern,3,LEC,Noelle A. Morrissette,08-JAN-2018 to 25-APR-2018,T R,0930-1045,SOEB 110,.GLT,1,36,35,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16874,,ENG 290-01,Rhetoric of Social Movements,3,LEC,Nancy A. Myers,08-JAN-2018 to 25-APR-2018,T R,0800-0915,MHRA 1213,.GL.IGS,26,36,10,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10406,8,ENG 303-01,Critical Approaches Study Lit,3,LEC,Cristian Moraru,08-JAN-2018 to 25-APR-2018,M W,1530-1645,MHRA 1209,.SI,0,25,25,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10407,8,ENG 303-02,Critical Approaches Study Lit,3,LEC,Cristian Moraru,08-JAN-2018 to 25-APR-2018,M W,1700-1815,MHRA 1210,.SI,18,25,7,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14909,8,ENG 303-03,Critical Approaches Study Lit,3,LEC,Ben Clarke,08-JAN-2018 to 25-APR-2018,T R,1100-1215,NMOR 331,.WI,0,25,25,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16876,3,ENG 304-01,History and Theory of Rhetoric,3,LEC,Stephen R. Yarbrough,08-JAN-2018 to 25-APR-2018,T R,1100-1215,MHRA 1204,.GHP.GPM.WI,0,25,25,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13205,168,ENG 305-01,Contemporary Rhetoric,3,LEC,Heather B. Adams,08-JAN-2018 to 25-APR-2018,M W F,1400-1450,MHRA 1207,.SI.WI,0,25,25,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10408,,ENG 305-02,Contemporary Rhetoric,3,LEC,Elizabeth Chiseri-Strater,08-JAN-2018 to 25-APR-2018,T R,1230-1345,MHRA 1213,.SI.WI,-1,25,26,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16878,,ENG 306-01,Digital Rhetoric,3,LEC,Aaron K. Beveridge,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,SOEB 219,.WI,0,25,25,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12115,1,ENG 324-01,Tching Wrting Ele & Mdl Grdes,3,LEC,Jeanie M. Reynolds,08-JAN-2018 to 25-APR-2018,T R,0930-1045,PETT 217,.WI,19,25,6,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13594,3,ENG 325-01,Writing Fiction: Intermediate,3,LEC,Craig Nova,08-JAN-2018 to 25-APR-2018,T R,1530-1645,MHRA 1213,,4,15,11,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14912,3,ENG 326-01,Writing Poetry: Intermediate,3,LEC,Emilia A. Phillips,08-JAN-2018 to 25-APR-2018,M W,1400-1515,MHRA 1208,.SI,3,15,12,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14938,"3,26",ENG 327-02,Writing for Prfssnls/Entrprnrs,3,LEC,Bonnie T. Yarbrough,08-JAN-2018 to 25-APR-2018,T R,1530-1645,MHRA 1207,.ENV.WI,0,20,20,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14913,"3,26,30",ENG 327-03,Writing for Prfssnls/Entrprnrs,3,WEB,Bonnie T. Yarbrough,08-JAN-2018 to 25-APR-2018,,,,.ENV.WI,1,20,19,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17001,"3,26,29,30,141",ENG 327-03D,Writing for Prfssnls/Entrprnrs,3,WEB,Bonnie T. Yarbrough,08-JAN-2018 to 25-APR-2018,,,,.ENV.WI,-5,0,5,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16892,"3,26,30",ENG 327-04,Writing for Prfssnls/Entrprnrs,3,WEB,Bonnie T. Yarbrough,08-JAN-2018 to 25-APR-2018,,,,.ENV.WI,0,24,24,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17016,"3,26,29,30,141",ENG 327-05D,Writing for Prfssnls/Entrprnrs,3,WEB,Sarah A. Krive,08-JAN-2018 to 25-APR-2018,,,,.ENV.WI,3,25,22,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16971,"3,26,29,30,105",ENG 327-81D,Writing for Prfssnls/Entrprnrs,3,WEB,Bonnie T. Yarbrough,09-DEC-2017 to 18-JAN-2018,,,,.ENV.WI,1,25,24,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16880,,ENG 333-01,Southern Writers,3,LEC,Brian S. Romine,08-JAN-2018 to 25-APR-2018,T R,1530-1645,SOEB 110,,5,36,31,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16895,9,ENG 336-01,Introduction to Chaucer,3,LEC,Denise N. Baker,08-JAN-2018 to 25-APR-2018,T R,1530-1645,SOEB 108,,-1,36,37,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14918,,ENG 340-01,Shakespeare: Later Plays,3,LEC,Jennifer M. Park,08-JAN-2018 to 25-APR-2018,T R,0800-0915,MHRA 1215,.GLT,5,36,31,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16920,,ENG 340-02,Shakespeare: Later Plays,3,LEC,Jennifer M. Park,08-JAN-2018 to 25-APR-2018,T R,0930-1045,MHRA 1214,.GLT,1,36,35,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13599,,ENG 347-01,American Short Story,3,LEC,Karen A. Weyler,08-JAN-2018 to 25-APR-2018,T R,1400-1515,MHRA 2211,,0,36,36,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16891,,ENG 347-02,Harlem Ren & Jazz Age,3,LEC,Noelle A. Morrissette,08-JAN-2018 to 25-APR-2018,T R,1100-1215,SOEB 102,.ADS,-1,36,37,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16890,,ENG 357-01,Modernism,3,LEC,Anthony J. Cuda,08-JAN-2018 to 25-APR-2018,T R,1400-1515,MHRA 2207,,2,36,34,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16888,,ENG 360-01,18th-C Search for Happiness,3,LEC,Jennifer M. Keith,08-JAN-2018 to 25-APR-2018,T R,1700-1815,MHRA 1207,.SI,1,25,24,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15098,,ENG 363-01,Rhetoric of the Body,3,LEC,Carine R. Applegarth,08-JAN-2018 to 25-APR-2018,T R,1230-1345,SOEB 217,.SI.WGS,0,25,25,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16886,"3,9",ENG 365-01,Writing for the Sciences,3,LEC,Aaron K. Beveridge,08-JAN-2018 to 25-APR-2018,M W F,1100-1150,SOEB 106,,20,25,5,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14919,168,ENG 372-01,Early American Literature,3,LEC,Karen A. Weyler,08-JAN-2018 to 25-APR-2018,T R,1230-1345,MHRA 1211,.WI,0,25,25,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10426,,ENG 376-01,African Am Writers After 1920s,3,LEC,Sallyann H. Ferguson,08-JAN-2018 to 25-APR-2018,M W,1400-1515,MHRA 2209,.ADS.WI,1,25,24,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10427,1,ENG 390-01,Writing Ctr Theory / Practice,3,LEC,Jennifer L. Whitaker,08-JAN-2018 to 25-APR-2018,T R,0800-0915,CURY 331,.WI,4,15,11,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13601,1,ENG 391-01,Stds in Digital Studio Theory,3,LEC,Vaughn R. Stewart,08-JAN-2018 to 25-APR-2018,T R,1230-1345,LIBR 064,.SI.WI,13,15,2,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10347,"1,10,14,374",ENG 401-01,Internship in Journalsm / Edit,3,INT,Karen A. Weyler,08-JAN-2018 to 25-APR-2018,,,,,19,20,1,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15951,"1,10,14,374",ENG 401-02,Internship in Journalsm / Edit,3,INT,Terry L. Kennedy,08-JAN-2018 to 25-APR-2018,,,,,5,5,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10348,"1,10,14,374",ENG 402-01,Internship in English Studies,3,INT,Karen A. Weyler,08-JAN-2018 to 25-APR-2018,,,,,19,20,1,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16904,3,ENG 425-01,Writing of Fiction: Advanced,3,LEC,Craig Nova,08-JAN-2018 to 25-APR-2018,T R,1530-1645,MHRA 1213,,-1,5,6,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16905,3,ENG 426-01,Writing of Poetry: Advanced,3,LEC,Emilia A. Phillips,08-JAN-2018 to 25-APR-2018,M W,1400-1515,MHRA 1208,,-1,5,6,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10349,"1,8,14,37,159",ENG 493-01,Honors Work,3,IND,Noelle A. Morrissette,08-JAN-2018 to 25-APR-2018,,,,.HSS,20,20,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16707,,ENG 541-01,Milton,3,LEC,Christopher T. Hodgkins,08-JAN-2018 to 25-APR-2018,T,1830-2120,MHRA 1211,,5,20,15,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16705,,ENG 549-01,Criticl Canon / Contemp Issues,3,LEC,Cristian Moraru,08-JAN-2018 to 25-APR-2018,M,1830-2120,MHRA 2206,,2,20,18,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13048,"3,374",ENG 622-01,Internship in English,3,INT,Terry L. Kennedy,08-JAN-2018 to 25-APR-2018,,,,,-2,5,7,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14238,,ENG 623-01,Writing-Advanced: Nonfiction,3,LEC,Michael F. Parker,08-JAN-2018 to 25-APR-2018,T,1400-1650,MHRA 3204,,3,15,12,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16939,11,ENG 626-01,MFA Fiction Workshop,3,SEM,Holly G. Jones,08-JAN-2018 to 25-APR-2018,R,1400-1650,MHRA 3209,,8,14,6,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10447,11,ENG 628-01,MFA Poetry Workshop,3,SEM,Emilia A. Phillips,08-JAN-2018 to 25-APR-2018,R,1400-1650,MHRA 3207,,10,14,4,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16908,,ENG 642-01,Topics in Pre-1800 Literature,3,SEM,Denise N. Baker,08-JAN-2018 to 25-APR-2018,R,1830-2120,MHRA 3209,,3,15,12,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13616,11,ENG 672-02,Grad Tutorial Writing: Fiction,3,IND,Michael F. Parker,08-JAN-2018 to 25-APR-2018,,,,,14,20,6,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10551,11,ENG 674-01,Grad Tutorial Writing: Poetry,3,IND,Stuart Dischell,08-JAN-2018 to 25-APR-2018,,,,,14,20,6,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16942,11,ENG 677-01,Spec Probs in Writing:Poetry,3,IND,Terry L. Kennedy,08-JAN-2018 to 25-APR-2018,,,,,15,15,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10351,11,ENG 678-01,Spec Probs in Writing:Fiction,3,IND,Holly G. Jones,08-JAN-2018 to 25-APR-2018,,,,,20,20,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12784,11,ENG 678-02,Spec Probs in Writing:Fiction,3,IND,Craig Nova,08-JAN-2018 to 25-APR-2018,,,,,15,15,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12785,11,ENG 678-03,Spec Probs in Writing:Fiction,3,IND,Michael F. Parker,08-JAN-2018 to 25-APR-2018,,,,,15,15,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16941,11,ENG 678-04,Spec Probs in Writing:Fiction,3,IND,Terry L. Kennedy,08-JAN-2018 to 25-APR-2018,,,,,15,15,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17193,"3,374",ENG 680-01,Teaching Internship in English,3,INT,Carine R. Applegarth,08-JAN-2018 to 25-APR-2018,,,,,4,5,1,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12786,"3,374",ENG 680-02,Teaching Internship in English,3,INT,Nancy A. Myers,08-JAN-2018 to 25-APR-2018,,,,,9,10,1,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12787,"3,374",ENG 680-03,Teaching Internship in English,3,INT,Cristian Moraru,08-JAN-2018 to 25-APR-2018,,,,,10,10,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12788,"3,374",ENG 680-04,Teaching Internship in English,3,INT,Noelle A. Morrissette,08-JAN-2018 to 25-APR-2018,,,,,9,10,1,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12789,"3,374",ENG 680-05,Teaching Internship in English,3,INT,Stuart Dischell,08-JAN-2018 to 25-APR-2018,,,,,10,10,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12790,"3,374",ENG 680-06,Teaching Internship in English,3,INT,Anthony J. Cuda,08-JAN-2018 to 25-APR-2018,,,,,9,10,1,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12791,"3,374",ENG 680-07,Teaching Internship in English,3,INT,Karen L. Kilcup,08-JAN-2018 to 25-APR-2018,,,,,10,10,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12792,"3,374",ENG 680-08,Teaching Internship in English,3,INT,Jeanie M. Reynolds,08-JAN-2018 to 25-APR-2018,,,,,9,10,1,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13260,"3,374",ENG 680-10,Teaching Internship in English,3,INT,Denise N. Baker,08-JAN-2018 to 25-APR-2018,,,,,5,5,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13261,"3,374",ENG 680-11,Teaching Internship in English,3,INT,Karen A. Weyler,08-JAN-2018 to 25-APR-2018,,,,,5,5,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13262,"3,374",ENG 680-12,Teaching Internship in English,3,INT,Ben Clarke,08-JAN-2018 to 25-APR-2018,,,,,5,5,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13264,"3,374",ENG 680-15,Teaching Internship in English,3,INT,Maria C. Sanchez,08-JAN-2018 to 25-APR-2018,,,,,4,5,1,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13265,"3,374",ENG 680-17,Teaching Internship in English,3,INT,Brian S. Romine,08-JAN-2018 to 25-APR-2018,,,,,4,5,1,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13323,"3,374",ENG 680-18,Teaching Internship in English,3,INT,Christopher T. Hodgkins,08-JAN-2018 to 25-APR-2018,,,,,5,5,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13734,"3,374",ENG 680-19,Teaching Internship in English,3,INT,Holly G. Jones,08-JAN-2018 to 25-APR-2018,,,,,5,5,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13735,"3,374",ENG 680-20,Teaching Internship in English,3,INT,Craig Nova,08-JAN-2018 to 25-APR-2018,,,,,4,5,1,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
