Unnamed: 0,CRN,**Notes,Course,Title,SH,Course Type,Instructor,Meeting Dates,Days,Time,Location,Categories,Seats,Limit,Enroll,*Campus,Subject,Prerequisites,Score
497,10102,"3,9",CHE402-01,Chemistry Seminar,1,SEM,Nicholas Oberlies,08-JAN-2018 to 25-APR-2018,M,1300-1350,SULV 435D,.SI,0,12,12,M,chemistry,none,1
498,10101,"3,9",CHE402-02,Chemistry Seminar,1,SEM,Ethan W. Taylor,08-JAN-2018 to 25-APR-2018,T,1100-1150,SULV 435D,.SI,1,12,11,M,chemistry,none,1
501,10109,3,CHE464-01,Physical Chemistry II Lab,1,LAB,Dennis A. Burnes,08-JAN-2018 to 25-APR-2018,M,1300-1650,SULV 354,.WI,11,16,5,M,chemistry,none,1
521,10110,3,CHE533-01,Instrumental Analysis Lab,1,LAB,Timothy D. Ballard,08-JAN-2018 to 25-APR-2018,T,1400-1750,SULV 349,.WI,13,20,7,M,chemistry,none,1
522,15783,3,CHE533-02,Instrumental Analysis Lab,1,LAB,Timothy D. Ballard,08-JAN-2018 to 25-APR-2018,R,1400-1750,SULV 349,.WI,16,20,4,M,chemistry,none,1
525,10149,3,CHE558-01,Biochemistry Lab,1,LAB,Jason J. Reddick,08-JAN-2018 to 25-APR-2018,T,1230-1620,SULV 349,.WI,3,10,7,M,chemistry,none,1
526,10150,3,CHE558-02,Biochemistry Lab,1,LAB,Pradyumna K. Pradhan,08-JAN-2018 to 25-APR-2018,W,1300-1650,SULV 349,.WI,1,10,9,M,chemistry,none,1
527,10151,3,CHE558-03,Biochemistry Lab,1,LAB,Ethan W. Taylor,08-JAN-2018 to 25-APR-2018,R,1230-1350,SULV 349,.WI,2,10,8,M,chemistry,none,1
528,14555,3,CHE558-04,Biochemistry Lab,1,LAB,Pradyumna K. Pradhan,08-JAN-2018 to 25-APR-2018,M,1300-1650,SULV 349,.WI,1,10,9,M,chemistry,none,1
604,12134,,CCI201-01,Intro to Greek Civilization,3,LEC,David B. Wharton,08-JAN-2018 to 25-APR-2018,M W,1400-1515,FERG 100,.GHP.GL.GPM,10,110,100,M,classical civilizations,none,3
605,10428,,CCI202-01,Intro to Roman Civilization,3,LEC,Derek S. Keyser,08-JAN-2018 to 25-APR-2018,M W,1530-1645,PETT 136,.GHP.GL.GPM,3,110,107,M,classical civilizations,none,3
606,16877,,CCI202-02,Intro to Roman Civilization,3,LEC,Robyn L. LeBlanc,08-JAN-2018 to 25-APR-2018,T R,0930-1045,BRYN 160,.GHP.GL.GPM,1,110,109,M,classical civilizations,none,3
607,10429,,CCI205-01,Mythology,3,LEC,Derek S. Keyser,08-JAN-2018 to 25-APR-2018,M W,1400-1515,LIBR 032,.GL.GLT,1,175,174,M,classical civilizations,none,2
608,10430,,CCI205-02,Mythology,3,LEC,Hugh C. Parker,08-JAN-2018 to 25-APR-2018,M W,1530-1645,FERG 100,.GL.GLT,1,175,174,M,classical civilizations,none,2
609,15294,,CCI205-03,Mythology,3,LEC,Daniel J. Schindler,08-JAN-2018 to 25-APR-2018,T R,1530-1645,LIBR 032,.GL.GLT,9,175,166,M,classical civilizations,none,2
610,17190,,CCI205-04,Mythology,3,LEC,John E. Esposito,08-JAN-2018 to 25-APR-2018,W,1800-2100,SOEB 120,.GL.GLT,67,175,108,M,classical civilizations,none,2
611,15295,,CCI212-01,Intro to Roman Archaeology,3,LEC,Robyn L. LeBlanc,08-JAN-2018 to 25-APR-2018,M W F,1200-1250,BRYN 104,.ARC.GHP.GL.GPM,-1,45,46,M,classical civilizations,none,3
612,15296,"14,37",CCI212-02,Intro to Roman Archaeology,3,LEC,Robyn L. LeBlanc,08-JAN-2018 to 25-APR-2018,M W F,1200-1250,BRYN 104,.ARC.GHP.GL.GPM.HSS,0,5,5,M,classical civilizations,none,3
613,16881,,CCI240-01,Ancient Warfare,3,LEC,Jonathan P. Zarecki,08-JAN-2018 to 25-APR-2018,M W,1530-1645,MHRA 1215,.GHP.GPM,-1,50,51,M,classical civilizations,none,2
614,12928,,CCI305-01,Classical Tragedy,3,LEC,Derek S. Keyser,08-JAN-2018 to 25-APR-2018,M W F,1100-1150,MHRA 1215,.GL.GLT,-2,50,52,M,classical civilizations,none,2
615,16882,,CCI313-01,Archaeology of the Aegean,3,LEC,Joanne M. Murphy,08-JAN-2018 to 25-APR-2018,T R,0930-1045,COLE 319,.ARC.SI,4,25,21,M,classical civilizations,none,1
616,16883,3,CCI323-01,World of Alexander the Great,3,LEC,Robyn L. LeBlanc,08-JAN-2018 to 25-APR-2018,T R,1530-1645,BRYN 112,.SI,0,25,25,M,classical civilizations,none,1
617,16885,,CCI326-01,Age of Nero,3,LEC,Hugh C. Parker,08-JAN-2018 to 25-APR-2018,T R,1100-1215,COLE 319,.GL.GLT.WI,-1,25,26,M,classical civilizations,none,3
663,10383,"3,168",ENG102-01,College Writing II,3,LEC,Jesse L. Gay,08-JAN-2018 to 25-APR-2018,M W F,0900-0950,SOEB 217,.GRD.SI,1,22,21,M,english,none,1
664,10385,"3,168",ENG102-03,College Writing II,3,LEC,Emily M. Hall,08-JAN-2018 to 25-APR-2018,M W F,0900-0950,MHRA 2206,.GRD.SI,2,22,20,M,english,none,1
665,14735,"3,168",ENG102-04,College Writing II,3,LEC,Emily M. Hall,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,MHRA 2206,.GRD.SI,2,22,20,M,english,none,1
666,14736,"3,168",ENG102-05,College Writing II,3,LEC,Michael R. Bedsole,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,MHRA 2204,.GRD.SI,0,22,22,M,english,none,1
667,14737,"3,168",ENG102-06,College Writing II,3,LEC,Michael R. Bedsole,08-JAN-2018 to 25-APR-2018,M W F,1100-1150,BRYN 202,.GRD.SI,1,22,21,M,english,none,1
668,14739,"3,168",ENG102-07,College Writing II,3,LEC,Richard J. Warren,08-JAN-2018 to 25-APR-2018,M W F,1200-1250,MHRA 2206,.GRD.SI,1,22,21,M,english,none,1
669,15794,"3,168",ENG102-08,College Writing II,3,LEC,Kayla M. Forrest,08-JAN-2018 to 25-APR-2018,M W F,1300-1350,MHRA 2208,.GRD.SI,3,22,19,M,english,none,1
670,15795,"3,168",ENG102-09,College Writing II,3,LEC,Matthew C. Armstrong,08-JAN-2018 to 25-APR-2018,M W F,1400-1450,COLE 319,.GRD.SI,3,22,19,M,english,none,1
671,16799,"3,168",ENG102-10,College Writing II,3,LEC,Carl P. Schlachte,08-JAN-2018 to 25-APR-2018,T R,0800-0915,MHRA 2204,.GRD.SI,2,22,20,M,english,none,1
672,16800,"3,168",ENG102-11,College Writing II,3,LEC,Gianina M. Coturri Sorenson,08-JAN-2018 to 25-APR-2018,T R,1400-1515,MHRA 2208,.GRD.SI,1,22,21,M,english,none,1
673,16801,"3,168",ENG102-12,College Writing II,3,LEC,Kristie L. Ellison,08-JAN-2018 to 25-APR-2018,T R,1230-1345,BRYN 106,.GRD.SI,-1,22,23,M,english,none,1
674,16802,"3,168,334",ENG102-13,College Writing II for Arts,3,LEC,Matthew C. Carter,08-JAN-2018 to 25-APR-2018,M W F,1100-1150,SOEB 108,.GRD.SI,11,22,11,M,english,none,1
675,16803,"3,168,334",ENG102-14,College Writing II for Arts,3,LEC,Matthew C. Carter,08-JAN-2018 to 25-APR-2018,M W F,1200-1250,MHRA 2204,.GRD.SI,8,22,14,M,english,none,1
676,13964,3,ENG103-01,Essentls of Prof / Bus Writing,3,LEC,Bonnie T. Yarbrough,08-JAN-2018 to 25-APR-2018,T R,1730-1845,MHRA 2209,.GRD.SI.WI,-2,22,24,M,english,none,2
677,10386,,ENG104-01,Approach to Literature,3,LEC,Kellyn P. Luna,08-JAN-2018 to 25-APR-2018,M W F,1400-1450,SOEB 108,.GLT,1,36,35,M,english,none,1
678,10387,,ENG104-02,Approach to Literature,3,LEC,Kellyn P. Luna,08-JAN-2018 to 25-APR-2018,M W F,1500-1550,SOEB 108,.GLT,1,36,35,M,english,none,1
679,10388,,ENG104-03,Approach to Literature,3,LEC,Michelle S. Reed,08-JAN-2018 to 25-APR-2018,T R,1100-1215,SOEB 106,.GLT,0,36,36,M,english,none,1
680,12700,,ENG104-04,Approach to Literature,3,LEC,Ross M. Garrison,08-JAN-2018 to 25-APR-2018,T R,1530-1645,MHRA 1214,.GLT.WI,0,25,25,M,english,none,2
681,13965,,ENG104-05,Approach to Literature,3,LEC,Ross M. Garrison,08-JAN-2018 to 25-APR-2018,T R,1730-1845,MHRA 1210,.GLT.WI,1,25,24,M,english,none,2
682,17090,,ENG104-06,Approach to Literature,3,LEC,Shawn M. Delgado,08-JAN-2018 to 25-APR-2018,M W F,1200-1250,GRAM 310,.GLT.WI,0,25,25,M,english,none,2
683,17098,,ENG104-07,Approach to Literature,3,LEC,Shawn M. Delgado,08-JAN-2018 to 25-APR-2018,M W F,1300-1350,GRAM 310,.GLT.WI,0,25,25,M,english,none,2
684,12701,,ENG105-01,Introduction to Narrative,3,LEC,Erik T. Cofer,08-JAN-2018 to 25-APR-2018,M W F,0800-0850,COLE 319,.GLT.WI,0,25,25,M,english,none,2
685,12702,,ENG105-02,Introduction to Narrative,3,LEC,Erik T. Cofer,08-JAN-2018 to 25-APR-2018,M W F,0900-0950,COLE 319,.GLT.WI,-1,25,26,M,english,none,2
686,13966,,ENG105-03,Introduction to Narrative,3,LEC,Jesse L. Gay,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,BRYN 205,.GLT,0,36,36,M,english,none,1
687,14745,,ENG105-04,Introduction to Narrative,3,LEC,Cody H. Lee,08-JAN-2018 to 25-APR-2018,M W F,1100-1150,COLE 319,.GLT.SI,0,25,25,M,english,none,2
688,12703,,ENG105-05,Introduction to Narrative,3,LEC,Cody H. Lee,08-JAN-2018 to 25-APR-2018,M W F,1200-1250,COLE 319,.GLT.SI,0,25,25,M,english,none,2
689,10389,,ENG105-06,Introduction to Narrative,3,LEC,Jeremy P. South,08-JAN-2018 to 25-APR-2018,M W F,1500-1550,SOEB 208,.GLT,13,36,23,M,english,none,1
690,10390,,ENG105-07,Introduction to Narrative,3,LEC,Marc R. Keith,08-JAN-2018 to 25-APR-2018,T R,0930-1045,MHRA 2211,.GLT,0,36,36,M,english,none,1
691,13967,,ENG105-08,Introduction to Narrative,3,LEC,Beth K. Miller Ball,08-JAN-2018 to 25-APR-2018,T R,1400-1515,MHRA 2209,.GLT,0,36,36,M,english,none,1
692,13614,,ENG105-09,Introduction to Narrative,3,LEC,Beth K. Miller Ball,08-JAN-2018 to 25-APR-2018,T R,1530-1645,BRYN 202,.GLT,0,36,36,M,english,none,1
693,13553,30,ENG105-10,Introduction to Narrative,3,WEB,Bryan T. McMillan,08-JAN-2018 to 25-APR-2018,,,,.GLT,1,32,31,M,english,none,1
694,16997,"29,30,141",ENG105-10D,Introduction to Narrative,3,WEB,Bryan T. McMillan,08-JAN-2018 to 25-APR-2018,,,,.GLT,-2,0,2,D,english,none,1
695,13554,30,ENG105-11,Introduction to Narrative,3,WEB,Jessica D. Ward,08-JAN-2018 to 25-APR-2018,,,,.GLT,0,28,28,M,english,none,1
696,16998,"29,30,141",ENG105-11D,Introduction to Narrative,3,WEB,Jessica D. Ward,08-JAN-2018 to 25-APR-2018,,,,.GLT,-7,0,7,D,english,none,1
697,13615,30,ENG105-12,Introduction to Narrative,3,WEB,Dusty K. Ross,08-JAN-2018 to 25-APR-2018,,,,.GLT,1,30,29,M,english,none,1
698,16999,"29,30,141",ENG105-12D,Introduction to Narrative,3,WEB,Dusty K. Ross,08-JAN-2018 to 25-APR-2018,,,,.GLT,-6,0,6,D,english,none,1
699,13969,30,ENG105-13,Introduction to Narrative,3,WEB,Eileen M. Totter,08-JAN-2018 to 25-APR-2018,,,,.GLT,1,28,27,M,english,none,1
700,17000,"29,30,141",ENG105-13D,Introduction to Narrative,3,WEB,Eileen M. Totter,08-JAN-2018 to 25-APR-2018,,,,.GLT,-7,0,7,D,english,none,1
701,16863,30,ENG105-14,Introduction to Narrative,3,WEB,Gary Lim,08-JAN-2018 to 25-APR-2018,,,,.GLT,0,30,30,M,english,none,1
702,17317,"29,30,141",ENG105-14D,Introduction to Narrative,3,WEB,Gary Lim,08-JAN-2018 to 25-APR-2018,,,,.GLT,-1,0,1,D,english,none,1
703,17452,"29,30,141",ENG105-15D,Introduction to Narrative,3,WEB,Joseph A. George,28-FEB-2018 to 25-APR-2018,,,,.GLT,0,35,35,D,english,none,1
704,16965,"29,30,105",ENG105-81D,Introduction to Narrative,3,WEB,Noelle A. Morrissette,09-DEC-2017 to 18-JAN-2018,,,,.GLT,2,35,33,D,english,none,1
705,10391,,ENG106-01,Introduction to Poetry,3,LEC,Meghan H. McGuire,08-JAN-2018 to 25-APR-2018,M W F,1100-1150,SOEB 219,.GLT.WI,0,25,25,M,english,none,2
706,10392,,ENG106-02,Introduction to Poetry,3,LEC,Meghan H. McGuire,08-JAN-2018 to 25-APR-2018,M W F,1200-1250,SOEB 212,.GLT.WI,0,25,25,M,english,none,2
707,14183,,ENG106-03,Introduction to Poetry,3,LEC,Michael R. Bedsole,08-JAN-2018 to 25-APR-2018,M W,1400-1515,BRYN 132,.GLT,1,36,35,M,english,none,1
708,14232,,ENG106-04,Introduction to Poetry,3,LEC,Michael R. Bedsole,08-JAN-2018 to 25-APR-2018,M W,1530-1645,MHRA 2209,.GLT,-1,36,37,M,english,none,1
709,13970,,ENG107-01,Introduction to Drama,3,LEC,Benjamin S. Compton,08-JAN-2018 to 25-APR-2018,M W F,1500-1550,MHRA 2207,.GLT,16,36,20,M,english,none,1
710,16836,,ENG107-02,Introduction to Drama,3,LEC,Lilit Berberyan,08-JAN-2018 to 25-APR-2018,T R,1400-1515,BRYN 206,.GLT,6,36,30,M,english,none,1
711,16837,,ENG107-03,Introduction to Drama,3,LEC,Lilit Berberyan,08-JAN-2018 to 25-APR-2018,T R,1530-1645,BRYN 206,.GLT,6,36,30,M,english,none,1
712,14234,,ENG108-01,Shakespearean Afterlives,3,LEC,Matthew C. Carter,08-JAN-2018 to 25-APR-2018,M W F,1400-1450,SOEB 106,.GLT,25,36,11,M,english,none,1
713,15818,,ENG108-03,Expatriates in Paris,3,LEC,Kayla M. Forrest,08-JAN-2018 to 25-APR-2018,M W,1530-1645,BRYN 204,.GLT,15,36,21,M,english,none,1
714,16840,,ENG108-04,Transatlantic Romanticism,3,LEC,Emily J. Dolive,08-JAN-2018 to 25-APR-2018,T R,0800-0915,BRYN 121,.GLT,19,36,17,M,english,none,1
715,16841,,ENG108-05,Transatlantic Romanticism,3,LEC,Emily J. Dolive,08-JAN-2018 to 25-APR-2018,T R,0930-1045,BRYN 121,.GLT,0,27,27,M,english,none,1
716,16866,,ENG108-06,Topics: Literature of A.I.,3,LEC,Nancy G. Bucknall,08-JAN-2018 to 25-APR-2018,T R,0930-1045,BRYN 112,.GLT.WI,-2,25,27,M,english,none,2
717,14787,,ENG109-01,Intro to Shakespeare,3,LEC,Lauren B. Shook,08-JAN-2018 to 25-APR-2018,M W F,1200-1250,MHRA 2207,.GLT.WI,0,25,25,M,english,none,2
718,16842,,ENG109-02,Intro to Shakespeare,3,LEC,Lauren B. Shook,08-JAN-2018 to 25-APR-2018,M W F,1300-1350,MHRA 1210,.GLT.WI,1,25,24,M,english,none,2
719,16868,,ENG209-01,Tpc Nonwest Lit:Postcolnl Dev,3,LEC,Shana J. Scudder,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,BRYN 204,.GLT.GN.IGS,5,36,31,M,english,none,2
720,16870,,ENG209-02,Tpc Nonwest Lit:Postcolnl Dev,3,LEC,Shana J. Scudder,08-JAN-2018 to 25-APR-2018,M W F,0900-0950,BRYN 204,.GLT.GN.IGS,9,36,27,M,english,none,2
721,16970,"29,30,105",ENG209-81D,Tpc Nonwest Lit:Postcolnl Dev,3,WEB,Joseph A. George,09-DEC-2017 to 18-JAN-2018,,,,.GLT.GN.IGS,2,35,33,D,english,none,2
722,16929,,ENG210-01,Literature and the Arts,3,LEC,Crystal L. Matey,08-JAN-2018 to 25-APR-2018,M W,1400-1515,FERG 322,.GLT,2,36,34,M,english,none,1
723,16847,,ENG210-02,Literature and the Arts,3,LEC,Crystal L. Matey,08-JAN-2018 to 25-APR-2018,M W,1530-1645,BRYN 202,.GLT,0,36,36,M,english,none,1
724,16871,10,ENG211-01,British Authors:Med-18th Cntry,3,LEC,Gary Lim,08-JAN-2018 to 25-APR-2018,T R,1230-1345,BRYN 121,.GLT,1,36,35,M,english,none,1
725,16872,10,ENG211-02,British Authors:Med-18th Cntry,3,LEC,Gary Lim,08-JAN-2018 to 25-APR-2018,T R,0930-1045,BRYN 205,.GLT,9,36,27,M,english,none,1
726,10397,10,ENG212-01,British Authors: Romantic-Mod,3,LEC,Ben Clarke,08-JAN-2018 to 25-APR-2018,T R,1400-1515,SOEB 108,.GLT,3,36,33,M,english,none,1
727,11743,,ENG219-01,Journlsm I: Fund of Newswritng,3,LEC,Rosemary Roberts,08-JAN-2018 to 25-APR-2018,T,1400-1650,GRAM 207,.ENV.WI,1,20,19,M,english,none,1
728,14905,,ENG219-02,Journlsm I: Fund of Newswritng,3,LEC,Elma K. Sabo,08-JAN-2018 to 25-APR-2018,W,1800-2050,GRAM 202,.ENV.WI,1,20,19,M,english,none,1
735,15094,,ENG230-01,Writing/Workplace/Public Aud,3,LEC,Jessica M. Van Rheenen,08-JAN-2018 to 25-APR-2018,T R,1400-1515,SOEB 219,.GRD.SI,3,25,22,M,english,none,1
736,10399,10,ENG251-01,Maj Am Auth: Colonial-Romantic,3,LEC,Maria C. Sanchez,08-JAN-2018 to 25-APR-2018,M W F,0900-0950,BRYN 121,.GLT,9,36,27,M,english,none,1
737,10405,10,ENG252-01,Maj Am Auth: Realist to Modern,3,LEC,Noelle A. Morrissette,08-JAN-2018 to 25-APR-2018,T R,0930-1045,SOEB 110,.GLT,1,36,35,M,english,none,1
738,16874,,ENG290-01,Rhetoric of Social Movements,3,LEC,Nancy A. Myers,08-JAN-2018 to 25-APR-2018,T R,0800-0915,MHRA 1213,.GL.IGS,26,36,10,M,english,none,1
739,10406,8,ENG303-01,Critical Approaches Study Lit,3,LEC,Cristian Moraru,08-JAN-2018 to 25-APR-2018,M W,1530-1645,MHRA 1209,.SI,0,25,25,M,english,none,1
740,10407,8,ENG303-02,Critical Approaches Study Lit,3,LEC,Cristian Moraru,08-JAN-2018 to 25-APR-2018,M W,1700-1815,MHRA 1210,.SI,18,25,7,M,english,none,1
741,14909,8,ENG303-03,Critical Approaches Study Lit,3,LEC,Ben Clarke,08-JAN-2018 to 25-APR-2018,T R,1100-1215,NMOR 331,.WI,0,25,25,M,english,none,1
742,16876,3,ENG304-01,History and Theory of Rhetoric,3,LEC,Stephen R. Yarbrough,08-JAN-2018 to 25-APR-2018,T R,1100-1215,MHRA 1204,.GHP.GPM.WI,0,25,25,M,english,none,3
743,13205,168,ENG305-01,Contemporary Rhetoric,3,LEC,Heather B. Adams,08-JAN-2018 to 25-APR-2018,M W F,1400-1450,MHRA 1207,.SI.WI,0,25,25,M,english,none,2
744,10408,,ENG305-02,Contemporary Rhetoric,3,LEC,Elizabeth Chiseri-Strater,08-JAN-2018 to 25-APR-2018,T R,1230-1345,MHRA 1213,.SI.WI,-1,25,26,M,english,none,2
745,16878,,ENG306-01,Digital Rhetoric,3,LEC,Aaron K. Beveridge,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,SOEB 219,.WI,0,25,25,M,english,none,1
746,12115,1,ENG324-01,Tching Wrting Ele & Mdl Grdes,3,LEC,Jeanie M. Reynolds,08-JAN-2018 to 25-APR-2018,T R,0930-1045,PETT 217,.WI,19,25,6,M,english,none,1
748,14912,3,ENG326-01,Writing Poetry: Intermediate,3,LEC,Emilia A. Phillips,08-JAN-2018 to 25-APR-2018,M W,1400-1515,MHRA 1208,.SI,3,15,12,M,english,none,1
749,14938,"3,26",ENG327-02,Writing for Prfssnls/Entrprnrs,3,LEC,Bonnie T. Yarbrough,08-JAN-2018 to 25-APR-2018,T R,1530-1645,MHRA 1207,.ENV.WI,0,20,20,M,english,none,1
750,14913,"3,26,30",ENG327-03,Writing for Prfssnls/Entrprnrs,3,WEB,Bonnie T. Yarbrough,08-JAN-2018 to 25-APR-2018,,,,.ENV.WI,1,20,19,M,english,none,1
751,17001,"3,26,29,30,141",ENG327-03D,Writing for Prfssnls/Entrprnrs,3,WEB,Bonnie T. Yarbrough,08-JAN-2018 to 25-APR-2018,,,,.ENV.WI,-5,0,5,D,english,none,1
752,16892,"3,26,30",ENG327-04,Writing for Prfssnls/Entrprnrs,3,WEB,Bonnie T. Yarbrough,08-JAN-2018 to 25-APR-2018,,,,.ENV.WI,0,24,24,M,english,none,1
753,17016,"3,26,29,30,141",ENG327-05D,Writing for Prfssnls/Entrprnrs,3,WEB,Sarah A. Krive,08-JAN-2018 to 25-APR-2018,,,,.ENV.WI,3,25,22,D,english,none,1
754,16971,"3,26,29,30,105",ENG327-81D,Writing for Prfssnls/Entrprnrs,3,WEB,Bonnie T. Yarbrough,09-DEC-2017 to 18-JAN-2018,,,,.ENV.WI,1,25,24,D,english,none,1
757,14918,,ENG340-01,Shakespeare: Later Plays,3,LEC,Jennifer M. Park,08-JAN-2018 to 25-APR-2018,T R,0800-0915,MHRA 1215,.GLT,5,36,31,M,english,none,1
758,16920,,ENG340-02,Shakespeare: Later Plays,3,LEC,Jennifer M. Park,08-JAN-2018 to 25-APR-2018,T R,0930-1045,MHRA 1214,.GLT,1,36,35,M,english,none,1
762,16888,,ENG360-01,18th-C Search for Happiness,3,LEC,Jennifer M. Keith,08-JAN-2018 to 25-APR-2018,T R,1700-1815,MHRA 1207,.SI,1,25,24,M,english,none,1
763,15098,,ENG363-01,Rhetoric of the Body,3,LEC,Carine R. Applegarth,08-JAN-2018 to 25-APR-2018,T R,1230-1345,SOEB 217,.SI.WGS,0,25,25,M,english,none,1
765,14919,168,ENG372-01,Early American Literature,3,LEC,Karen A. Weyler,08-JAN-2018 to 25-APR-2018,T R,1230-1345,MHRA 1211,.WI,0,25,25,M,english,none,1
766,10426,,ENG376-01,African Am Writers After 1920s,3,LEC,Sallyann H. Ferguson,08-JAN-2018 to 25-APR-2018,M W,1400-1515,MHRA 2209,.ADS.WI,1,25,24,M,english,none,1
767,10427,1,ENG390-01,Writing Ctr Theory / Practice,3,LEC,Jennifer L. Whitaker,08-JAN-2018 to 25-APR-2018,T R,0800-0915,CURY 331,.WI,4,15,11,M,english,none,1
768,13601,1,ENG391-01,Stds in Digital Studio Theory,3,LEC,Vaughn R. Stewart,08-JAN-2018 to 25-APR-2018,T R,1230-1345,LIBR 064,.SI.WI,13,15,2,M,english,none,2
879,10928,,FRE101-01,Beginning French I,3,LEC,Amy L. Brabeck,08-JAN-2018 to 25-APR-2018,M W F,0800-0850,MHRA 1211,.GCP.GL,3,25,22,M,french,none,1
880,14172,,FRE101-02,Beginning French I,3,WEB,Amy L. Brabeck,08-JAN-2018 to 25-APR-2018,,,,.GCP.GL,2,27,25,M,french,none,1
881,14273,"29,30,141,352",FRE101-02D,Beginning French I,3,WEB,Amy L. Brabeck,08-JAN-2018 to 25-APR-2018,,,,.GCP.GL,-2,3,5,D,french,none,1
882,10929,,FRE101-03,Beginning French I,3,LEC,Amy L. Brabeck,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,MHRA 1209,.GCP.GL,1,25,24,M,french,none,1
883,10930,,FRE101-04,Beginning French I,3,LEC,Amy L. Brabeck,08-JAN-2018 to 25-APR-2018,M W F,1100-1150,MHRA 2209,.GCP.GL,6,25,19,M,french,none,1
884,11470,,FRE101-05,Beginning French I,3,LEC,Genevieve O. Waite,08-JAN-2018 to 25-APR-2018,M W F,1200-1250,MHRA 1206,.GCP.GL,0,25,25,M,french,none,1
885,11472,,FRE101-06,Beginning French I,3,LEC,Genevieve O. Waite,08-JAN-2018 to 25-APR-2018,M W F,1300-1350,MHRA 1208,.GCP.GL,0,25,25,M,french,none,1
886,12870,,FRE101-07,Beginning French I,3,LEC,Joshua C. Lunsford,08-JAN-2018 to 25-APR-2018,M W F,1400-1450,MHRA 1211,.GCP.GL,1,25,24,M,french,none,1
887,15136,,FRE101-08,Beginning French I,3,LEC,William S. Mouelle Ebongue Makolle,08-JAN-2018 to 25-APR-2018,M W F,1500-1550,SOEB 110,.GCP.GL,12,25,13,M,french,none,1
904,10938,3,FRE241-01,Interm French:Culture Business,3,LEC,Peter T. Dola,08-JAN-2018 to 25-APR-2018,M W,1700-1815,CURY 332,.GCP.GFL.GL.SI,6,25,19,M,french,none,2
905,15604,3,FRE303-01,Francophone Cultures: An Intro,3,SEM,Shanaaz Mohammed,08-JAN-2018 to 25-APR-2018,M W F,1200-1250,MHRA 2211,.WI,2,25,23,M,french,none,1
907,15194,3,FRE353-01,Survey of French Literature,3,LEC,Roberto E. Campo,08-JAN-2018 to 25-APR-2018,T R,1100-1215,MHRA 1210,.IGS.WI,8,20,12,M,french,none,1
909,13899,,HIS204-01,History of Africa from 1870,3,LEC,Colleen Kriger,08-JAN-2018 to 25-APR-2018,T R,0930-1045,MHRA 1215,.ADS.GHP.GMO.GN.IGS,0,58,58,M,history,none,3
910,10016,,HIS206-01,Tpcs:Globl Developmnts to 1500,3,LEC,Stephen Q. Ruzicka,08-JAN-2018 to 25-APR-2018,M W,1000-1050,FERG 100,.GHP.GL.GPM,1,20,19,M,history,none,3
911,13415,,HIS206-02,Tpcs:Globl Developmnts to 1500,3,LEC,Stephen Q. Ruzicka,08-JAN-2018 to 25-APR-2018,M W,1000-1050,FERG 100,.GHP.GL.GPM,0,20,20,M,history,none,3
912,13900,,HIS206-03,Tpcs:Globl Developmnts to 1500,3,LEC,Stephen Q. Ruzicka,08-JAN-2018 to 25-APR-2018,M W,1000-1050,FERG 100,.GHP.GL.GPM,0,20,20,M,history,none,3
913,16065,,HIS206-04,Tpcs:Globl Developmnts to 1500,3,LEC,Stephen Q. Ruzicka,08-JAN-2018 to 25-APR-2018,M W,1000-1050,FERG 100,.GHP.GL.GPM,8,20,12,M,history,none,3
914,10017,,HIS207-01,Tpcs:Islamic Civn 600-1200 CE,3,LEC,Alexander A. Eger,08-JAN-2018 to 25-APR-2018,F,1200-1250,BRYN 110,.GHP.GN.GPM.IGS,0,22,22,M,history,none,3
915,14215,,HIS207-02,Tpcs: Islamic Civn 600-1200 CE,3,LEC,Alexander A. Eger,08-JAN-2018 to 25-APR-2018,M W,1300-1350,BRYN 111,.GHP.GN.GPM.IGS,0,22,22,M,history,none,3
916,16096,,HIS207-03,Tpcs: N & E Africa Middle Ages,3,LEC,Ian M. Michie,08-JAN-2018 to 25-APR-2018,T R,0800-0915,BRYN 105,.GHP.GN.GPM.IGS,12,40,28,M,history,none,3
917,17325,,HIS207-04,Tpcs:Premdn Cultures InContact,3,WEB,Sarah E. McCartney,08-JAN-2018 to 25-APR-2018,,,,.GHP.GN.GPM.IGS,-3,32,35,M,history,none,3
918,17340,"29,30,141",HIS207-04D,Tpcs:Premdn CulturesIn Contact,3,WEB,Sarah E. McCartney,08-JAN-2018 to 25-APR-2018,,,,.GHP.GN.GPM.IGS,-15,0,15,D,history,none,3
919,13362,,HIS208-01,Tpcs:Revolutions in World Hist,3,LEC,Mark A. Moser,08-JAN-2018 to 25-APR-2018,T R,1230-1345,MHRA 1214,.GHP.GL.GMO.IGS,-1,58,59,M,history,none,3
920,13363,,HIS208-02,Tpcs:Revolutions in World Hist,3,LEC,Mark A. Moser,08-JAN-2018 to 25-APR-2018,T R,1530-1645,MHRA 1215,.GHP.GL.GMO.IGS,3,50,47,M,history,none,3
