Unnamed: 0,CRN,**Notes,Course,Title,SH,Course Type,Instructor,Meeting Dates,Days,Time,Location,Categories,Seats,Limit,Enroll,*Campus,Subject,Prerequisites,Score
93,15227,"3,29,30,141",BIO105L-17D,Major Concepts in Bio Lab,1,WEB,Heather Rushforth,08-JAN-2018 to 25-APR-2018,,,,.GLS.GNS.SUS,0,10,10,D,biology,none,1
94,15229,3,BIO105L-18,Major Concepts in Bio Lab,1,WEB,Austin N. Craven,08-JAN-2018 to 25-APR-2018,,,,.GLS.GNS.SUS,0,10,10,M,biology,none,1
95,15537,"3,29,30,141",BIO105L-18D,Major Concepts in Bio Lab,1,WEB,Austin N. Craven,08-JAN-2018 to 25-APR-2018,,,,.GLS.GNS.SUS,4,10,6,D,biology,none,1
96,11390,3,BIO111-01,Principles of Biology I,4,LEC,John E. Tomkiel Dean,08-JAN-2018 to 25-APR-2018,T R,1400-1515,EBER 250,.ENV.GLS.GNS.SUS,10,192,182,M,biology,none,3
97,11391,3,BIO111-02,Principles of Biology I,4,LEC,Julia Loreth,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,SOEB 120,.ENV.GLS.GNS.SUS,13,192,179,M,biology,none,3
98,11392,3,BIO111-03,Principles of Biology I,4,LEC,Margaret L. Horton,08-JAN-2018 to 25-APR-2018,T R,1800-1915,EBER 250,.ENV.GLS.GNS.SUS,74,180,106,M,biology,none,3
99,14848,3,BIO111-04,Principles of Biology I,4,LEC,Maria Cristina D. Moreira,08-JAN-2018 to 25-APR-2018,M W,1400-1515,SULV 101,.ENV.GLS.GNS.SUS,7,180,173,M,biology,none,3
100,11393,3,BIO111L-01,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M,0900-1150,SULV 138,.ENV,0,24,24,M,biology,none,2
101,11394,3,BIO111L-02,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M,0930-1220,SULV 140,.ENV,1,24,23,M,biology,none,2
102,11395,3,BIO111L-03,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M,1200-1450,SULV 138,.ENV,0,24,24,M,biology,none,2
103,11396,3,BIO111L-04,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M,1230-1520,SULV 140,.ENV,0,24,24,M,biology,none,2
104,11397,3,BIO111L-05,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M,1500-1750,SULV 138,.ENV,1,24,23,M,biology,none,2
105,11398,3,BIO111L-06,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M,1530-1820,SULV 140,.ENV,1,24,23,M,biology,none,2
106,11399,3,BIO111L-07,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M,1800-2050,SULV 138,.ENV,2,24,22,M,biology,none,2
107,11400,3,BIO111L-08,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M,1830-2120,SULV 140,.ENV,2,24,22,M,biology,none,2
108,11401,3,BIO111L-09,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,T,0900-1150,SULV 138,.ENV,0,24,24,M,biology,none,2
109,11402,3,BIO111L-10,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,T,0930-1220,SULV 140,.ENV,1,24,23,M,biology,none,2
110,11403,3,BIO111L-11,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,T,1200-1450,SULV 138,.ENV,0,24,24,M,biology,none,2
111,11404,3,BIO111L-12,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,T,1230-1520,SULV 140,.ENV,1,24,23,M,biology,none,2
112,11405,3,BIO111L-13,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,T,1500-1750,SULV 138,.ENV,0,24,24,M,biology,none,2
113,11406,3,BIO111L-14,Princpls of Biology I Lab,0,LAB,Julia Loreth,08-JAN-2018 to 25-APR-2018,T,1530-1820,SULV 140,.ENV,1,24,23,M,biology,none,2
114,11407,3,BIO111L-15,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,T,1800-2050,SULV 138,.ENV,0,24,24,M,biology,none,2
115,14472,3,BIO111L-16,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,T,1830-2120,SULV 140,.ENV,19,24,5,M,biology,none,2
116,14856,3,BIO111L-17,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,W,0900-1150,SULV 138,.ENV,2,24,22,M,biology,none,2
117,14857,3,BIO111L-18,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,W,0930-1220,SULV 140,.ENV,0,24,24,M,biology,none,2
118,14858,3,BIO111L-19,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,W,1200-1450,SULV 138,.ENV,0,24,24,M,biology,none,2
119,14859,3,BIO111L-20,Princpls of Biology I Lab,0,LAB,Casey M. Taylor,08-JAN-2018 to 25-APR-2018,W,1500-1750,SULV 138,.ENV,1,24,23,M,biology,none,2
120,14860,3,BIO111L-21,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,W,1800-2050,SULV 138,.ENV,3,24,21,M,biology,none,2
121,14861,3,BIO111L-22,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,W,1830-2120,SULV 140,.ENV,0,24,24,M,biology,none,2
122,14862,3,BIO111L-23,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,R,0900-1150,SULV 138,.ENV,0,24,24,M,biology,none,2
123,14863,3,BIO111L-24,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,R,0930-1220,SULV 140,.ENV,1,24,23,M,biology,none,2
124,14864,3,BIO111L-25,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,R,1200-1450,SULV 138,.ENV,1,24,23,M,biology,none,2
125,14865,3,BIO111L-26,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,R,1230-1520,SULV 140,.ENV,0,24,24,M,biology,none,2
126,14866,3,BIO111L-27,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,R,1500-1750,SULV 138,.ENV,1,24,23,M,biology,none,2
127,14867,3,BIO111L-28,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,R,1530-1820,SULV 140,.ENV,1,24,23,M,biology,none,2
128,14868,3,BIO111L-29,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,R,1800-2050,SULV 138,.ENV,18,24,6,M,biology,none,2
129,11414,3,BIO112-02,Principles of Biology II,4,LEC,Peter W. Blum,08-JAN-2018 to 25-APR-2018,M W F,1100-1150,SULV 101,.ENV.GLS.GNS,42,225,183,M,biology,none,1
130,11415,"3,14,37",BIO112-03,Principles of Biology II,4,LEC,John J. Lepri,08-JAN-2018 to 25-APR-2018,M W F,1200-1250,SULV 103,.ENV.GLS.GNS.HSS,12,24,12,M,biology,none,1
131,16439,3,BIO112-04,Principles of Biology II,4,LEC,Iglika V. Pavlova,08-JAN-2018 to 25-APR-2018,T R,0800-0915,SULV 200,.ENV.GLS.GNS,20,95,75,M,biology,none,1
183,14869,3,BIO315-01,Ecology and Evolution Lab,2,LAB,Curtis E. Green,08-JAN-2018 to 25-APR-2018,M,0900-1150,SULV 117,.WI,9,24,15,M,biology,none,1
184,14870,3,BIO315-02,Ecology and Evolution Lab,2,LAB,Peter W. Blum,08-JAN-2018 to 25-APR-2018,M,1300-1550,SULV 117,.WI,14,24,10,M,biology,none,1
185,14872,3,BIO315-03,Ecology and Evolution Lab,2,LAB,Austin N. Craven,08-JAN-2018 to 25-APR-2018,T,0900-1150,SULV 117,.WI,16,24,8,M,biology,none,1
186,14873,3,BIO315-04,Ecology and Evolution Lab,2,LAB,Peter W. Blum,08-JAN-2018 to 25-APR-2018,T,1300-1550,SULV 117,.WI,1,24,23,M,biology,none,1
187,14874,3,BIO315-05,Ecology and Evolution Lab,2,LAB,Curtis E. Green,08-JAN-2018 to 25-APR-2018,W,0900-1150,SULV 117,.WI,6,24,18,M,biology,none,1
188,14876,3,BIO315-06,Ecology and Evolution Lab,2,LAB,Robert H. Stavn,08-JAN-2018 to 25-APR-2018,W,1300-1550,SULV 117,.WI,3,24,21,M,biology,none,1
189,14877,3,BIO315-07,Ecology and Evolution Lab,2,LAB,Curtis E. Green,08-JAN-2018 to 25-APR-2018,R,0900-1150,SULV 117,.WI,16,24,8,M,biology,none,1
190,14878,3,BIO315-08,Ecology and Evolution Lab,2,LAB,Curtis E. Green,08-JAN-2018 to 25-APR-2018,R,1300-1550,SULV 117,.WI,-1,24,25,M,biology,none,1
193,14884,3,BIO375-01,Cell Biology and Genetics Lab,2,LAB,Karen S. Katula,08-JAN-2018 to 25-APR-2018,M,1300-1550,SULV 363,.WI,8,20,12,M,biology,none,1
194,14887,3,BIO375-02,Cell Biology and Genetics Lab,2,LAB,John E. Tomkiel Dean,08-JAN-2018 to 25-APR-2018,M,1300-1550,SULV 365,.WI,10,20,10,M,biology,none,1
195,14888,3,BIO375-03,Cell Biology and Genetics Lab,2,LAB,Ashley D. Herring,08-JAN-2018 to 25-APR-2018,T,1300-1550,SULV 363,.WI,1,20,19,M,biology,none,1
196,14889,3,BIO375-04,Cell Biology and Genetics Lab,2,LAB,Maria Cristina D. Moreira,08-JAN-2018 to 25-APR-2018,T,1300-1550,SULV 365,.WI,8,20,12,M,biology,none,1
197,14890,3,BIO375-05,Cell Biology and Genetics Lab,2,LAB,Mark D. Hens,08-JAN-2018 to 25-APR-2018,W,1300-1550,SULV 363,.WI,1,20,19,M,biology,none,1
198,14891,3,BIO375-06,Cell Biology and Genetics Lab,2,LAB,Austin N. Craven,08-JAN-2018 to 25-APR-2018,W,1300-1550,SULV 365,.WI,8,20,12,M,biology,none,1
